,source,interaction,target,directed,pmid,ndex:citation
185,GCR,neighbor-of,IL2,,"""1740658""","""pmid:1740658"""
186,GCR,controls-expression-of,IL4,true,"""10623828""","""pmid:10623828"""
187,GCR,neighbor-of,IL4,,"""10623828""","""pmid:10623828"""
188,GCR,controls-expression-of,IL5,true,"""15826950""","""pmid:15826950"""
189,GCR,neighbor-of,IL5,,"""15826950""","""pmid:15826950"""
190,GCR,controls-expression-of,IL6,true,"""8290595""","""pmid:8290595"""
191,GCR,neighbor-of,IL6,,"""8290595""","""pmid:8290595"""
192,GCR,controls-expression-of,IL8,true,"""10760263""","""pmid:10760263"""
193,GCR,neighbor-of,IL8,,"""10760263""","""pmid:10760263"""
194,GCR,controls-expression-of,IRF1,true,"""10820245""","""pmid:10820245"""
195,GCR,neighbor-of,IRF1,,"""10820245""","""pmid:10820245"""
196,GCR,in-complex-with,JUN,,,
197,GCR,controls-expression-of,K1C14,true,"""10825196""","""pmid:10825196"""
198,GCR,neighbor-of,K1C14,,"""10825196""","""pmid:10825196"""
199,GCR,controls-expression-of,K1C17,true,"""10825196""","""pmid:10825196"""
200,GCR,neighbor-of,K1C17,,"""10825196""","""pmid:10825196"""
201,GCR,controls-expression-of,K2C5,true,"""10825196""","""pmid:10825196"""
202,GCR,neighbor-of,K2C5,,"""10825196""","""pmid:10825196"""
203,GCR,in-complex-with,KAPCA,,,
204,GCR,in-complex-with,KAPCB,,,
205,GCR,in-complex-with,KAPCG,,,
206,GCR,controls-expression-of,LYAM2,true,"""10760263""","""pmid:10760263"""
207,GCR,neighbor-of,LYAM2,,"""10760263""","""pmid:10760263"""
208,GCR,controls-phosphorylation-of,MK08,true,"""10974006""","""pmid:10974006"""
209,GCR,controls-expression-of,MMP1,true,"""2169351,2169352,2169353""","""pmid:2169351,pmid:2169352,pmid:2169353"""
210,GCR,neighbor-of,MMP1,,"""2169351,2169352,2169353""","""pmid:2169351,pmid:2169352,pmid:2169353"""
211,GCR,in-complex-with,NCOA1,,,
212,GCR,in-complex-with,NCOA2,,,
213,GCR,neighbor-of,NFAC1,,"""10623828""","""pmid:10623828"""
214,GCR,neighbor-of,NFAC2,,"""15826950,1740658""","""pmid:15826950,pmid:1740658"""
215,GCR,in-complex-with,NFKB1,,,
216,GCR,controls-expression-of,NR1I3,true,"""12511605""","""pmid:12511605"""
217,GCR,neighbor-of,NR1I3,,"""12511605""","""pmid:12511605"""
218,GCR,neighbor-of,NR4A1,,"""2586521,8428574,9315653""","""pmid:2586521,pmid:8428574,pmid:9315653"""
219,GCR,controls-expression-of,OSTCN,true,"""9388207""","""pmid:9388207"""
220,GCR,neighbor-of,OSTCN,,"""9388207""","""pmid:9388207"""
221,GCR,in-complex-with,P53,,,
222,GCR,neighbor-of,PBX1,,"""9722596""","""pmid:9722596"""
223,GCR,controls-expression-of,PCKGM,true,"""12118039,9765258""","""pmid:12118039,pmid:9765258"""
224,GCR,neighbor-of,PCKGM,,"""12118039,9765258""","""pmid:12118039,pmid:9765258"""
225,GCR,neighbor-of,PIT1,,"""9426156""","""pmid:9426156"""
226,GCR,neighbor-of,PO2F1,,"""9722596""","""pmid:9722596"""
227,GCR,in-complex-with,PPP5,,,
228,GCR,controls-expression-of,PRL,true,"""9426156,9722596""","""pmid:9426156,pmid:9722596"""
